Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_WNT_BETA_CATENIN_SIGNALING,4.037148e-01,8.960351e-01,7.230000e-01,1.000000e+00,1.000000e+00,4/34,11.78%,CCND2;DLL1;DKK1;WNT5B
prerank,HALLMARK_HEME_METABOLISM,3.847744e-01,8.528192e-01,7.920000e-01,1.000000e+00,1.000000e+00,14/37,33.25%,TAL1;GATA1;MPP1;SLC7A11;SNCA;ICAM4;TRIM58;TFRC;BLVRA;ASNS;RAP1GAP;CCND3;SPTA1;ADIPOR1
prerank,HALLMARK_ANDROGEN_RESPONSE,3.820470e-01,8.510689e-01,7.837838e-01,1.000000e+00,1.000000e+00,2/32,1.20%,AZGP1;TMPRSS2
prerank,HALLMARK_P53_PATHWAY,3.560736e-01,8.243797e-01,8.990000e-01,1.000000e+00,1.000000e+00,29/76,37.56%,CCND2;SERPINB5;ZBTB16;SLC7A11;CDH13;ALOX15B;RAP2B;HMOX1;S100A4;SPHK1;SDC1;RRAD;SOCS1;SFN;CDK5R1;ACVR1B;F2R;ZFP36L1;TAP1;CEBPA;CDKN1A;KLF4;CCND3;IL1A;TGFB1;DDIT3;PLXNB2;FOS;BAX
prerank,HALLMARK_SPERMATOGENESIS,3.751993e-01,8.228918e-01,8.150000e-01,1.000000e+00,1.000000e+00,13/29,48.26%,ALOX15;JAM3;TEKT2;SLC12A2;IL12RB2;PACRG;PEBP1;ACE;CDK1;AURKA;VDAC3;POMC;NF2
prerank,HALLMARK_UV_RESPONSE_DN,3.538166e-01,8.219393e-01,9.030000e-01,1.000000e+00,1.000000e+00,31/81,40.47%,PPARG;SNAI2;KIT;SERPINE1;DLC1;SDC2;BDNF;ITGB3;PRKAR2B;CAV1;MET;COL3A1;CDON;DAB2;GCNT1;GJA1;IGF1R;ANXA2;PDGFRB;PTEN;COL11A1;LPAR1;RUNX1;PIAS3;FYN;PTPRM;MGMT;ABCC1;ERBB2;ID1;MAP1B
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,3.414079e-01,8.085065e-01,9.620000e-01,1.000000e+00,1.000000e+00,84/138,56.43%,BCL2A1;CXCL6;IL23A;IL6;CCL20;CCL4;SERPINE1;TNFAIP6;OLR1;CD69;ICAM1;SOCS3;TNFRSF9;DUSP4;CD44;KLF2;SERPINB2;PTGER4;SPHK1;SERPINB8;TLR2;CD80;F2RL1;FOSL1;RHOB;CXCL1;CFLAR;ZFP36;EGR3;GPR183;CCND1;BIRC3;HES1;TAP1;CDKN1A;SOD2;KLF4;BIRC2;BCL3;ID2;NFKBIE;IL1A;PHLDA2;EFNA1;CCL2;TNF;CD83;FOS;JUNB;EDN1;BCL6;CEBPB;VEGFA;CSF1;NR4A3;CCRL2;STAT5A;CXCL3;IL7R;SMAD3;FOSL2;HBEGF;IER2;AREG;IFIT2;TNFAIP3;SDC4;INHBA;RELA;BMP2;TRIB1;IL1B;EGR2;EGR1;RIPK2;IER3;GCH1;GADD45B;PFKFB3;PLK2;JAG1;NR4A2;PLPP3;TNC
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,3.368587e-01,7.940916e-01,9.650000e-01,1.000000e+00,1.000000e+00,53/121,44.97%,CXCL9;CCL7;IL6;VCAM1;FGL2;TNFAIP6;GPR18;CMKLR1;CD69;ICAM1;IRF4;SOCS3;OAS2;OASL;IL2RB;IL18BP;SOCS1;RNF213;CD274;PLA2G4A;GZMA;GBP4;CD86;IDO1;LY6E;FCGR1A;IFNAR2;HIF1A;PTPN6;TAP1;CDKN1A;SOD2;C1R;NLRC5;SLAMF7;IRF9;PSMB9;CCL2;ITGB7;BST2;TNFSF10;IFI27;IRF2;CD74;IL10RA;C1S;PNP;STAT3;KLRK1;CD40;B2M;JAK2;IL7
prerank,HALLMARK_NOTCH_SIGNALING,3.480334e-01,7.608828e-01,8.748749e-01,1.000000e+00,1.000000e+00,12/27,48.39%,DLL1;FZD5;WNT2;DTX1;CCND1;HES1;FZD7;SKP1;HEYL;MAML2;FBXW11;FZD1
prerank,HALLMARK_APOPTOSIS,3.228968e-01,7.594314e-01,9.830000e-01,1.000000e+00,1.000000e+00,45/105,43.13%,CCND2;IL6;DCN;CD69;PRF1;CAV1;HMOX1;CD44;PMAIP1;TNFRSF12A;IGFBP6;CLU;RHOB;CFLAR;FASLG;LGALS3;SOD1;EGR3;TIMP1;CCND1;F2R;TOP2A;PDGFRB;IGF2R;BIRC3;KRT18;TAP1;CDKN1A;FEZ1;SOD2;HSPB1;IL1A;ANXA1;TNF;DDIT3;TNFSF10;MGMT;BAX;CREBBP;ERBB2;LMNA;TIMP3;GPX4;HGF;PLAT
prerank,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,3.542745e-01,7.547621e-01,8.505517e-01,1.000000e+00,1.000000e+00,10/20,46.99%,HHEX;MPO;SOD1;CDKN2D;SOD2;JUNB;ATOX1;ABCC1;GPX4;G6PD
prerank,HALLMARK_PROTEIN_SECRETION,3.569760e-01,7.540371e-01,8.522613e-01,1.000000e+00,1.000000e+00,6/18,29.45%,GNAS;DST;SOD1;CD63;IGF2R;KRT18
prerank,HALLMARK_MYC_TARGETS_V2,-2.201659e-01,-6.863964e-01,9.583333e-01,9.481481e-01,9.457364e-01,12/12,78.21%,TCOF1;HSPD1;MCM5;DUSP2;MYC;NOLC1;MCM4;HK2;CDK4;PLK1;SORD;NPM1
prerank,HALLMARK_PI3K_AKT_MTOR_SIGNALING,2.896476e-01,6.636261e-01,9.930000e-01,1.000000e+00,1.000000e+00,34/68,52.69%,FGF17;PITX2;PRKCB;FGF22;PFN1;TIAM1;PLCB1;FASLG;SFN;CXCR4;CDKN1A;PTEN;IRAK4;PAK4;ARPC3;MAPK10;PRKAA2;GNGT1;DDIT3;CDK1;TRAF2;EGFR;AKT1;RAC1;CDK2;HRAS;MAPK9;CSNK2B;GRB2;PTPN11;VAV3;ACTR3;SLC2A1;MAPK1
prerank,HALLMARK_MTORC1_SIGNALING,2.876402e-01,6.625856e-01,9.960000e-01,1.000000e+00,1.000000e+00,31/62,51.68%,SLC7A11;FGL2;ITGB2;CORO1A;TPI1;TFRC;STC1;PLOD2;CFP;CXCR4;ALDOA;ASNS;CDKN1A;P4HA1;DDIT3;SLC7A5;ENO1;PPIA;LDHA;PSPH;PNP;AURKA;XBP1;G6PD;SORD;IDH1;HSPA5;CDC25A;PLK1;ACTR3;SLC2A1
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,2.644209e-01,6.043337e-01,9.970000e-01,1.000000e+00,1.000000e+00,28/52,56.05%,IFITM1;SELL;OASL;GBP4;LY6E;CD47;TAP1;LAMP3;IRF9;PSMB9;BST2;IFI27;IRF2;CD74;SAMD9;C1S;CSF1;CCRL2;B2M;IL7;IFIT2;IL15;ISG20;LGALS3BP;IFIT3;RIPK2;GBP2;OAS1
prerank,HALLMARK_DNA_REPAIR,2.732199e-01,6.037952e-01,9.820000e-01,1.000000e+00,1.000000e+00,2/32,8.23%,POLD4;RAD51
prerank,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,2.503987e-01,5.357389e-01,9.879639e-01,1.000000e+00,1.000000e+00,9/22,49.53%,NPM1;ASNS;CCL2;SLC7A5;SHC1;CEBPB;VEGFA;XBP1;HSPA5
prerank,HALLMARK_TGF_BETA_SIGNALING,2.411962e-01,5.345309e-01,9.970000e-01,1.000000e+00,1.000000e+00,11/34,40.22%,SERPINE1;SMAD6;NOG;LEFTY2;CDKN1C;TGFBR1;ID2;TGFB1;JUNB;RHOA;ID1
prerank,HALLMARK_MITOTIC_SPINDLE,2.266767e-01,5.264435e-01,1.000000e+00,1.000000e+00,1.000000e+00,36/84,53.07%,DOCK2;DST;RHOF;SHROOM2;OPHN1;NCK2;TIAM1;CCDC88A;CTTN;TOP2A;SOS1;PREX1;TUBGCP2;LMNB1;BCAR1;CDC42;PALLD;CDK1;ECT2;SMC1A;KIFAP3;ACTN4;PRC1;AURKA;NF1;CD2AP;ROCK1;FLNB;PLK1;FBXO5;ARF6;MYH9;FSCN1;HOOK3;SMC3;TBCD
prerank,HALLMARK_G2M_CHECKPOINT,2.084253e-01,4.852931e-01,1.000000e+00,1.000000e+00,1.000000e+00,29/81,45.60%,EGF;EFNA5;SLC12A2;ORC6;CCND1;PBK;TOP2A;HIF1A;WRN;CDC7;BCL3;LMNB1;CUL5;TGFB1;EWSR1;CHEK1;SLC7A5;CDC20;FANCC;CDK1;CCNA2;SMC1A;RAD21;EXO1;PRC1;AURKA;CDKN2C;MNAT1;SMAD3
prerank,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.962316e-01,4.368674e-01,9.990000e-01,1.000000e+00,1.000000e+00,22/36,67.89%,PHB2;NDUFA7;NDUFB1;ATP1B1;NDUFB8;NDUFA1;BAX;LDHA;GPX4;VDAC3;NDUFA3;IDH1;LDHB;NDUFS8;GOT2;NDUFS7;UQCRQ;COX5B;COX6A1;IDH2;OAT;NDUFB4
prerank,HALLMARK_MYC_TARGETS_V1,1.526712e-01,3.420295e-01,1.000000e+00,9.999799e-01,1.000000e+00,18/34,68.33%,U2AF1;PHB2;NPM1;CDC20;PPIA;LDHA;CCNA2;VDAC3;CDK2;GOT2;CDK4;MCM4;SF3A1;PSMC4;TFDP1;YWHAE;PSMD7;SMARCC1
