fold,auc,auprc,f1,accuracy,n_val_cells
1,0.7178207311104654,0.5345831136300672,0.5723849372384937,0.6425483830466522,111506
2,0.8114839569838185,0.6363965407369195,0.7000408979871559,0.7336559129231404,101887
3,0.6960561200533195,0.574511311247704,0.5501586042823157,0.6409298792549571,63191
4,0.8144982963348123,0.6152441762273181,0.6240761138515077,0.7206955036589849,84313
5,0.9075881330013371,0.6747946736305535,0.7092224231464738,0.8438740214818861,82395
