Term
GOBP_FIBRINOLYSIS
GOBP_POSITIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION
GOBP_POSITIVE_REGULATION_OF_EXOCYTOSIS
GOBP_REGULATION_OF_EXOCYTOSIS
