scope,fold,n_healthy_cells,frac_No_Mets,frac_Regional_Mets,frac_Distant_Mets,false_positive_rate,auc_with_healthy_negatives,auprc_with_healthy_negatives,n_malignant_val,n_healthy
A_matched_tissue,1,43522,0.9856624236018565,0.0002067919672809154,0.014130784430862553,0.014337576398143467,0.7875300260160774,0.571577687482314,117854.0,43522
A_matched_tissue,2,43522,0.9961858370479297,0.0008271678691236616,0.002986995082946556,0.003814162952070217,0.8533304480113564,0.5500242646992872,103041.0,43522
A_matched_tissue,3,43522,0.998575433114287,0.0010799136069114472,0.00034465327880152564,0.0014245668857129727,0.7737395993953744,0.5645718737712416,61625.0,43522
A_matched_tissue,4,43522,0.9711410321216856,0.02879003722255411,6.893065576030514e-05,0.028858967878314417,0.9025486818007507,0.5916296606690035,79236.0,43522
A_matched_tissue,5,43522,0.9003032948853453,0.09962777445889436,6.893065576030514e-05,0.09969670511465466,0.899233061468059,0.5189588074656232,81536.0,43522
A_matched_tissue,ensemble,43522,0.9910390147511603,0.008777170166812186,0.00018381508202748036,0.008960985248839667,0.8432763633383236,0.559352458817494,,43522
B_all_epithelium,1,228032,0.9518576340162784,0.0014866334549536906,0.04665573252876789,0.04814236598372158,0.8531038942440136,0.520232899290338,117854.0,228032
B_all_epithelium,2,228032,0.9872254771260174,0.004845811114229582,0.007928711759753017,0.0127745228739826,0.9111411644705433,0.5176018739664554,103041.0,228032
B_all_epithelium,3,228032,0.9935359949480774,0.005556237721021611,0.0009077673309009262,0.0064640050519225375,0.7849243617606032,0.4692002591275154,61625.0,228032
B_all_epithelium,4,228032,0.9287029890541678,0.06947709093460568,0.0018199200112264946,0.07129701094583217,0.9263298925280443,0.5617905932816563,79236.0,228032
B_all_epithelium,5,228032,0.8313876999719337,0.16785363457760313,0.0007586654504630929,0.16861230002806624,0.8943733470734896,0.42425238634317797,81536.0,228032
B_all_epithelium,ensemble,228032,0.9756481546449621,0.023084479371316306,0.001267365983721583,0.02435184535503789,0.8739745320153387,0.49861560240182856,,228032
