donor_id,tissue,n_cells,false_positive_rate
TSP1,lung,2178,0.025252525252525252
TSP14,large intestine,1345,0.005947955390334572
TSP14,lung,8042,0.0007460830639144492
TSP2,large intestine,443,0.002257336343115124
TSP2,lung,8691,0.02968588194684156
TSP25,lung,3868,0.012409513960703205
TSP27,mammary gland,13389,0.0013443871835088505
TSP28,ovary,10,0.1
TSP4,mammary gland,5556,0.0021598272138228943
