fold,n_healthy_cells,frac_No_Mets,frac_Regional_Mets,frac_Distant_Mets,false_positive_rate,auc_with_healthy_negatives,auprc_with_healthy_negatives,n_malignant_val,n_healthy
1,43522,0.9849271632737466,0.0002527457377877855,0.014820090988465604,0.01507283672625339,0.7872761446102837,0.5711370689579197,117854.0,43522.0
2,43522,0.9956573686871008,0.0009650291806442718,0.0033776021322549517,0.0043426313128992235,0.8531015339631544,0.5497479704548927,103041.0,43522.0
3,43522,0.9985294793437801,0.0009650291806442718,0.000505491475575571,0.001470520656219843,0.7740155833936762,0.564536351702339,61625.0,43522.0
4,43522,0.9710491245806718,0.028767060337300674,0.00018381508202748036,0.028950875419328156,0.9024958785220103,0.5914319794996878,79236.0,43522.0
5,43522,0.898648959147098,0.10114424888562107,0.0002067919672809154,0.10135104085290197,0.8989012412860022,0.5186625041209433,81536.0,43522.0
ensemble,43522,0.9906484077018519,0.009029915904599973,0.0003216763935480906,0.009351592298148062,0.8431580763550255,0.5591031749471564,,
