fold,n_cells,false_positive_rate,roc_auc,auprc
1,52509,0.02692871698185073,0.7942910704182136,0.5670283913209032
2,52509,0.009465044087680207,0.8587736818942796,0.5463666438314799
3,52509,0.005865661124759565,0.7697677299711225,0.550865791061823
4,52509,0.04345921651526405,0.9044119853366843,0.5883639009141193
5,52509,0.10575329943438268,0.8990714837198502,0.5107094695830339
ensemble,52509,0.02014892685063513,0.8452631902680301,0.5526668393422719
