accuracy,f1,auroc,auprc,n_patients,n_pos_patients,n_neg_patients,n_heterogeneous_patients,model,scheme,split,n_val_cells,hyperparams
1.0,1.0,,,7,0,7,0,scMeta-SAGE,LOOCV,Goveia_Carmeliet_2020,1470,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.796875,0.7816971383147854,0.7759259259259259,0.476996154152718,64,10,54,10,Logistic Regression,5foldCV,fold1,113629,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.8253968253968254,0.8220710506424793,0.93006993006993,0.7129659415544584,63,11,52,8,scMeta-SAGE,5foldCV,fold4,73243,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,7,0,7,0,SGD,LOOCV,2098-Colorectalcancer,8874,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.6666666666666666,0.568421052631579,0.4185185185185185,0.4127594627594628,24,9,15,0,Logistic Regression,LOOCV,Kim_Lee_2020,7783,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.9411764705882352,0.9696969696969696,,,17,0,17,0,scMeta-Tran,LOOCV,UKIM-V,5882,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,12,0,12,0,SGD,LOOCV,2102-Breastcancer,13604,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,7,0,7,0,Elastic Net,LOOCV,Goveia_Carmeliet_2020,1470,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,29,0,29,0,scMeta-Tran,LOOCV,Leader_Merad_2021,4365,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.873015873015873,0.8612580834803057,0.826923076923077,0.5427445139401661,63,11,52,8,Logistic Regression,5foldCV,fold4,73243,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.796875,0.7659795992274263,0.7549019607843137,0.5972763209535309,64,13,51,8,Elastic Net,5foldCV,fold3,80570,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.625,0.4807692307692308,0.5555555555555556,0.4444444444444444,24,9,15,0,Random Forest,LOOCV,Kim_Lee_2020,7783,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,8,0,8,0,SGD,LOOCV,2096-Lungcancer,10596,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.8888888888888888,0.872872872872873,0.8452830188679246,0.705764163372859,63,10,53,6,Elastic Net,5foldCV,fold5,73366,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,8,0,8,0,Logistic Regression,LOOCV,2096-Lungcancer,10596,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.6666666666666666,0.568421052631579,0.5148148148148147,0.4469169719169719,24,9,15,0,scMeta-SAGE,LOOCV,Kim_Lee_2020,7783,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.4146341463414634,0.4252386002120891,0.3564102564102564,0.540851748478854,41,26,15,31,SGD,LOOCV,MSK_SPECTRUM,198901,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
